gene_set	target_gene	index
M47495	ARAF	230520
M47495	BRAF	94630
M47495	EGFR	88559
M47495	EREG	56700
M47495	GRB2	194138
M47495	HRAS	122636
M47495	KRAS	139341
M47495	MAP2K1	167339
M47495	MAP2K2	202275
M47495	MAPK1	224591
M47495	MAPK3	176266
M47495	NRAS	10928
M47495	RAF1	39279
M47495	SOS1	23554
M47495	SOS2	156967
M47605	ALAD	111073
M47605	ALAS1	43155
M47605	ALAS2	231417
M47605	CPOX	45042
M47605	FECH	199869
M47605	HMBS	135054
M47605	PPOX	14557
M47605	UROD	6022
M47605	UROS	121910
M47715	ABI1	115668
M47715	ACTB	85522
M47715	ACTG1	195589
M47715	ACTR2	25280
M47715	ACTR3	29321
M47715	ARF1	19145
M47715	ARF6	156935
M47715	ARPC1A	91267
M47715	ARPC1B	91272
M47715	ARPC2	35485
M47715	ARPC3	146965
M47715	ARPC4	38707
M47715	ARPC5	16215
M47715	ARPC5L	111649
M47715	BRK1	38958
M47715	CYFIP1	162942
M47715	CYFIP2	71930
M47715	CYTH1	195088
M47715	CYTH2	211695
M47715	CYTH3	85629
M47715	CYTH4	226710
M47715	NCKAP1	33304
M47715	WASF1	81492
M47715	WASF2	3556
M47715	WASF3	150187
